Domain,Classification,Total Mailboxes,Burnt Mailboxes,Healthy Mailboxes,Low Volume Mailboxes,Total Sent,Total Replied,Avg Reply Rate %
rossmanmediaaisolutions.com,LOW_VOLUME,3,0,0,3,0,0,0.00
castleagencyteam.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediafunnel.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediabuy.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencyteams.com,LOW_VOLUME,3,0,0,3,37,0,0.00
therossmanmediasolution.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaconsultants.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediaservice.com,LOW_VOLUME,3,0,0,3,0,0,0.00
rossmanmediacontentcreation.com,LOW_VOLUME,2,0,0,2,0,0,0.00
rossmanmediacorporate.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyinc.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediawebdesign.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmedialab.com,LOW_VOLUME,2,0,0,2,0,0,0.00
therossmanmediaportal.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencyteam.com,LOW_VOLUME,3,0,0,3,37,0,0.00
therossmanmediahub.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyusa.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmedianetwork.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencypro.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmediapro.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyinsurance.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediacase.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencyplus.com,LOW_VOLUME,3,0,0,3,12,0,0.00
therossmanmediasolutions.com,LOW_VOLUME,2,0,0,2,0,0,0.00
leblancinsuranceagencyhome.com,LOW_VOLUME,3,0,0,3,12,0,0.00
rossmanmediavisuals.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediaservice.com,LOW_VOLUME,2,0,0,2,0,0,0.00
therossmanmediapartners.com,LOW_VOLUME,3,0,0,3,0,0,0.00
therossmanmediacorporate.com,LOW_VOLUME,3,0,0,3,0,0,0.00
tyschraufagencycorp.com,LOW_VOLUME,3,0,0,3,36,1,2.78
leblancinsuranceagencyinsure.com,LOW_VOLUME,3,0,0,3,12,0,0.00
leblancinsuranceagencyhealth.com,LOW_VOLUME,3,0,0,3,12,0,0.00
leblancinsuranceagencygroup.com,LOW_VOLUME,3,0,0,3,12,0,0.00
castleagencyteams.com,LOW_VOLUME,3,0,0,3,0,0,0.00
castleagencyco.com,LOW_VOLUME,3,0,0,3,0,0,0.00
leblancinsuranceagencysolutions.com,LOW_VOLUME,3,0,0,3,11,0,0.00
tyschraufagencyservices.com,LOW_VOLUME,3,0,0,3,39,0,0.00
