Domain,Classification,Workspace(s),Total Accounts,Burnt Accounts,Healthy Accounts,Low Volume Accounts,Total Sent,Total Replied,Avg Reply Rate %
greggblanchardagencyinsuranceamerica.com,MIXED,"Gregg Blanchard",3,1,2,0,703,3,0.43
greggblanchardagencyhealth.com,MIXED,"Gregg Blanchard",3,1,2,0,698,8,1.15
greggblanchardagencyincs.com,MIXED,"Gregg Blanchard",3,1,2,0,697,4,0.57
greggblanchardagencyrisk.com,MIXED,"Gregg Blanchard",3,1,2,0,696,5,0.72
greggblanchardagencyclientservices.com,MIXED,"Gregg Blanchard",3,1,2,0,696,4,0.57
greggblanchardagencyinsuranceconnect.com,MIXED,"Gregg Blanchard",3,1,2,0,693,2,0.29
greggblanchardagencyclientcare.com,MIXED,"Gregg Blanchard",3,1,2,0,692,6,0.87
greggblanchardagencyfastquote.com,MIXED,"Gregg Blanchard",3,1,2,0,692,7,1.01
greggblanchardagencyeasy.com,MIXED,"Gregg Blanchard",3,1,2,0,691,5,0.72
greggblanchardagencyenterprise.com,MIXED,"Gregg Blanchard",3,2,1,0,684,2,0.29
greggblanchardagencyinsurancecorp.com,MIXED,"Gregg Blanchard",3,1,2,0,680,5,0.74
greggblanchardagencyessential.com,MIXED,"Gregg Blanchard",3,1,2,0,676,7,1.04
greggblanchardagencyclientcenter.com,MIXED,"Gregg Blanchard",3,1,2,0,672,6,0.89
greggblanchardagencyhelp.com,MIXED,"Gregg Blanchard",3,1,2,0,668,5,0.75
greggblanchardagencyinsure.com,MIXED,"Gregg Blanchard",3,1,2,0,666,5,0.75
greggblanchardagencyassurance.com,MIXED,"Gregg Blanchard",3,1,2,0,663,9,1.36
greggblanchardagencyhq.com,MIXED,"Gregg Blanchard",3,1,2,0,662,6,0.91
greggblanchardagencyexpress.com,MIXED,"Gregg Blanchard",3,1,2,0,660,4,0.61
greggblanchardagencycomplete.com,MIXED,"Gregg Blanchard",3,2,1,0,652,5,0.77
greggblanchardagencybenefits.com,MIXED,"Gregg Blanchard",3,1,2,0,584,2,0.34
greggblanchardagencyhub.com,MIXED,"Gregg Blanchard",3,2,1,0,561,2,0.36
greggblanchardagencygroup.com,MIXED,"Gregg Blanchard",3,2,1,0,551,2,0.36
greggblanchardagencyexpertspro.com,MIXED,"Gregg Blanchard",3,1,2,0,548,3,0.55
greggblanchardagencycoverage.com,MIXED,"Gregg Blanchard",3,1,2,0,544,4,0.74
greggblanchardagencydirect.com,MIXED,"Gregg Blanchard",3,2,1,0,543,1,0.18
greggblanchardagencyexpertsusa.com,MIXED,"Gregg Blanchard",3,1,2,0,542,6,1.11
greggblanchardagencyexpertsinc.com,MIXED,"Gregg Blanchard",3,1,2,0,542,4,0.74
greggblanchardagencyclaimshub.com,MIXED,"Gregg Blanchard",3,1,2,0,541,4,0.74
greggblanchardagencyclaimspro.com,MIXED,"Gregg Blanchard",3,1,2,0,539,7,1.30
greggblanchardagencyexperts.com,MIXED,"Gregg Blanchard",3,1,2,0,538,3,0.56
greggblanchardagencyexpert.com,MIXED,"Gregg Blanchard",3,1,2,0,538,7,1.30
greggblanchardagencyclaimshelp.com,MIXED,"Gregg Blanchard",3,1,2,0,536,4,0.75
greggblanchardagencyclaimsusa.com,MIXED,"Gregg Blanchard",3,1,2,0,533,2,0.38
greggblanchardagencycompany.com,MIXED,"Gregg Blanchard",3,1,2,0,533,6,1.13
greggblanchardagencyadvisorsusa.com,MIXED,"Gregg Blanchard",3,1,2,0,532,2,0.38
greggblanchardagencyauto.com,MIXED,"Gregg Blanchard",3,1,2,0,531,6,1.13
greggblanchardagency365.com,MIXED,"Gregg Blanchard",3,1,2,0,529,6,1.13
greggblanchardagencybonds.com,MIXED,"Gregg Blanchard",3,1,2,0,528,6,1.14
greggblanchardagencyconnect.com,MIXED,"Gregg Blanchard",3,1,2,0,528,10,1.89
greggblanchardagencyagency.com,MIXED,"Gregg Blanchard",3,1,2,0,526,3,0.57
greggblanchardagencyamerica.com,MIXED,"Gregg Blanchard",3,1,2,0,526,5,0.95
greggblanchardagencyclaims.com,MIXED,"Gregg Blanchard",3,1,2,0,525,3,0.57
greggblanchardagencycenter.com,MIXED,"Gregg Blanchard",3,1,2,0,522,5,0.96
greggblanchardagencyclaimscenter.com,MIXED,"Gregg Blanchard",3,2,1,0,520,1,0.19
rossman-media.com,MIXED,"Shane Miller",2,1,1,0,493,2,0.41
greggblanchardagency360.com,MIXED,"Gregg Blanchard",3,2,1,0,484,5,1.03
davidamirillcs.com,MIXED,"David Amiri",3,2,1,0,454,3,0.66
davidamiriltds.com,MIXED,"David Amiri",3,2,1,0,448,1,0.22
robrussellprime.com,HEALTHY,"Rob Russell",3,0,3,0,5103,36,0.71
davidamirihome.com,HEALTHY,"David Amiri",3,0,3,0,4915,37,0.75
davidamirillc.com,HEALTHY,"David Amiri",3,0,3,0,4910,32,0.65
meetdavidamiri.com,HEALTHY,"David Amiri",3,0,3,0,4909,33,0.67
davidamiricare.com,HEALTHY,"David Amiri",3,0,3,0,4908,38,0.77
getdavidamiri.com,HEALTHY,"David Amiri",3,0,3,0,4902,37,0.75
johnrobertsquote.com,HEALTHY,"John Roberts",3,0,3,0,4896,40,0.82
johnrobertsedge.com,HEALTHY,"John Roberts",3,0,3,0,4886,31,0.63
johnrobertszone.com,HEALTHY,"John Roberts",3,0,3,0,4886,33,0.68
davidamirishield.com,HEALTHY,"David Amiri",3,0,3,0,4883,31,0.63
johnrobertslink.com,HEALTHY,"John Roberts",3,0,3,0,4881,41,0.84
maxjohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4879,44,0.90
corejohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4879,41,0.84
gojohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4875,30,0.62
instantjohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4873,33,0.68
acejohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4872,34,0.70
hellojohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4868,43,0.88
surejohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4857,34,0.70
johnrobertsrates.com,HEALTHY,"John Roberts",3,0,3,0,4856,48,0.99
johnrobertsclaims.com,HEALTHY,"John Roberts",3,0,3,0,4852,41,0.85
lifejohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4852,42,0.87
davidamiri.com,HEALTHY,"David Amiri",3,0,3,0,4851,26,0.54
davidamiriexpert.com,HEALTHY,"David Amiri",3,0,3,0,4850,38,0.78
johnrobertssecure.com,HEALTHY,"John Roberts",3,0,3,0,4844,25,0.52
johnrobertspros.com,HEALTHY,"John Roberts",3,0,3,0,4841,43,0.89
alljohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4836,53,1.10
primejohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4835,36,0.74
localjohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4830,52,1.08
tojohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4830,44,0.91
peakjohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4826,49,1.02
hijohnroberts.com,HEALTHY,"John Roberts",3,0,3,0,4816,32,0.66
davidamiriquotes.com,HEALTHY,"David Amiri",3,0,3,0,4806,32,0.67
davidamiriagency.com,HEALTHY,"David Amiri",3,0,3,0,4779,37,0.77
maxdavidamiri.com,HEALTHY,"David Amiri",3,0,3,0,4642,27,0.58
choosedavidamiri.com,HEALTHY,"David Amiri",3,0,3,0,4567,31,0.68
davidamiriinsures.com,HEALTHY,"David Amiri",3,0,3,0,4559,35,0.77
davidamiriprotects.com,HEALTHY,"David Amiri",3,0,3,0,4532,33,0.73
davidamiricares.com,HEALTHY,"David Amiri",3,0,3,0,4520,34,0.75
davidamirireach.com,HEALTHY,"David Amiri",3,0,3,0,4518,23,0.51
davidamiriserves.com,HEALTHY,"David Amiri",3,0,3,0,4502,22,0.49
davidamirihelps.com,HEALTHY,"David Amiri",3,0,3,0,4486,41,0.91
davidamiricorp.com,HEALTHY,"David Amiri",3,0,3,0,4467,44,0.99
davidamirigroup.com,HEALTHY,"David Amiri",3,0,3,0,4467,34,0.76
wallaceagencyplans.com,HEALTHY,"Kim Wallace",3,0,3,0,4393,60,1.37
wallaceagencygroup.com,HEALTHY,"Kim Wallace",3,0,3,0,4391,44,1.00
usewallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4383,40,0.91
findwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4366,43,0.98
wallaceagencycares.com,HEALTHY,"Kim Wallace",3,0,3,0,4364,45,1.03
prowallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4360,27,0.62
wallaceagencyquotes.com,HEALTHY,"Kim Wallace",3,0,3,0,4353,37,0.85
wallaceagencyshield.com,HEALTHY,"Kim Wallace",3,0,3,0,4352,24,0.55
wallaceagencycoverage.com,HEALTHY,"Kim Wallace",3,0,3,0,4351,33,0.76
teamwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4349,45,1.03
getwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4339,34,0.78
askwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4334,49,1.13
callwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4334,33,0.76
insurewallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4333,57,1.32
meetwallaceagency.com,HEALTHY,"Kim Wallace",3,0,3,0,4326,41,0.95
trykimwallace.com,HEALTHY,"Kim Wallace",3,0,3,0,4304,35,0.81
kimwallaceelite.com,HEALTHY,"Kim Wallace",3,0,3,0,4274,38,0.89
brilliantinsuranceincs.com,HEALTHY,"Jason Binyon",3,0,3,0,3917,22,0.56
kimwallacecoveragesolutions.com,HEALTHY,"Kim Wallace",2,0,2,0,3725,30,0.81
kimwallacehome.com,HEALTHY,"Kim Wallace",2,0,2,0,3724,43,1.15
kimwallacesafety.com,HEALTHY,"Kim Wallace",2,0,2,0,3713,26,0.70
kimwallacehomesecure.com,HEALTHY,"Kim Wallace",2,0,2,0,3713,27,0.73
kimwallacecoveragegroup.com,HEALTHY,"Kim Wallace",2,0,2,0,3708,26,0.70
kimwallacecoverageplans.com,HEALTHY,"Kim Wallace",2,0,2,0,3705,29,0.78
kimwallaceagency.com,HEALTHY,"Kim Wallace",2,0,2,0,3692,30,0.81
kimwallaceshield.com,HEALTHY,"Kim Wallace",2,0,2,0,3691,24,0.65
kimwallaceinc.com,HEALTHY,"Kim Wallace",2,0,2,0,3683,28,0.76
thekimwallace.com,HEALTHY,"Kim Wallace",2,0,2,0,3671,29,0.79
kimwallaceadvisors.com,HEALTHY,"Kim Wallace",2,0,2,0,3627,28,0.77
tailoredcoverageteam.com,HEALTHY,"Jason Binyon",2,0,2,0,3558,25,0.70
reliablepolicyexperts.com,HEALTHY,"Jason Binyon",2,0,2,0,3556,18,0.51
industrybestcoverageinc.com,HEALTHY,"Jason Binyon",2,0,2,0,3539,24,0.68
coverageadvisorygroup.com,HEALTHY,"Jason Binyon",2,0,2,0,3534,21,0.59
agentsfarmershub.com,HEALTHY,"Danny Schwartz",3,0,3,0,3431,34,0.99
theagentsfarmers.com,HEALTHY,"Danny Schwartz",3,0,3,0,3430,39,1.14
agentsfarmersteam.com,HEALTHY,"Danny Schwartz",3,0,3,0,3428,21,0.61
agentsfarmersltds.com,HEALTHY,"Danny Schwartz",3,0,3,0,3424,27,0.79
agentsfarmersteams.com,HEALTHY,"Danny Schwartz",3,0,3,0,3422,40,1.17
theagentsfarmersil.com,HEALTHY,"Danny Schwartz",3,0,3,0,3422,54,1.58
agentsfarmersil.com,HEALTHY,"Danny Schwartz",3,0,3,0,3421,51,1.49
agentsfarmersinc.com,HEALTHY,"Danny Schwartz",3,0,3,0,3420,28,0.82
agentsfarmersinfo.com,HEALTHY,"Danny Schwartz",3,0,3,0,3420,42,1.23
agentsfarmersllc.com,HEALTHY,"Danny Schwartz",3,0,3,0,3418,35,1.02
yourtrustedcoverage.com,HEALTHY,"Jason Binyon",2,0,2,0,3403,23,0.68
robrussellcovers.com,HEALTHY,"Rob Russell",2,0,2,0,3403,25,0.73
robrussellrates.com,HEALTHY,"Rob Russell",2,0,2,0,3397,24,0.71
robrussellteam.com,HEALTHY,"Rob Russell",2,0,2,0,3391,24,0.71
agentfarmershub.com,HEALTHY,"Danny Schwartz",3,0,3,0,3384,30,0.89
kimwallaceinsurance.com,HEALTHY,"Kim Wallace",2,0,2,0,3371,24,0.71
agentfarmerspros.com,HEALTHY,"Danny Schwartz",3,0,3,0,3365,49,1.46
kimwallaceinsured.com,HEALTHY,"Kim Wallace",2,0,2,0,3361,24,0.71
agentfarmersco.com,HEALTHY,"Danny Schwartz",3,0,3,0,3337,38,1.14
agentfarmersinfo.com,HEALTHY,"Danny Schwartz",3,0,3,0,3325,33,0.99
agentfarmers.com,HEALTHY,"Danny Schwartz",3,0,3,0,3320,24,0.72
agentfarmerssupport.com,HEALTHY,"Danny Schwartz",3,0,3,0,3298,29,0.88
kimwallaceinsurancesolutions.com,HEALTHY,"Kim Wallace",2,0,2,0,3291,18,0.55
kimwallaceplan.com,HEALTHY,"Kim Wallace",2,0,2,0,3281,21,0.64
kimwallaceprotection.com,HEALTHY,"Kim Wallace",2,0,2,0,3276,30,0.92
kimwallaceintexas.com,HEALTHY,"Kim Wallace",2,0,2,0,3271,31,0.95
kimwallacepersonalquote.com,HEALTHY,"Kim Wallace",2,0,2,0,3270,27,0.83
kimwallace-policy.com,HEALTHY,"Kim Wallace",2,0,2,0,3267,19,0.58
agentfarmersllcs.com,HEALTHY,"Danny Schwartz",3,0,3,0,3265,46,1.41
davidamirihq.com,HEALTHY,"David Amiri",2,0,2,0,3262,30,0.92
kimwallaceinsurancetexas.com,HEALTHY,"Kim Wallace",2,0,2,0,3261,29,0.89
kimwallace-policyplans.com,HEALTHY,"Kim Wallace",2,0,2,0,3260,30,0.92
opendavidamiri.com,HEALTHY,"David Amiri",2,0,2,0,3251,20,0.62
thedavidamiri.com,HEALTHY,"David Amiri",2,0,2,0,3245,25,0.77
agentfarmersexpert.com,HEALTHY,"Danny Schwartz",3,0,3,0,3232,40,1.24
unitedjohnroberts.com,HEALTHY,"John Roberts",2,0,2,0,3221,27,0.84
johnrobertsshield.com,HEALTHY,"John Roberts",2,0,2,0,3208,22,0.69
agentfarmersincs.com,HEALTHY,"Danny Schwartz",3,0,3,0,3196,49,1.53
alexwilliamsauto.com,HEALTHY,"Jason Binyon",2,0,2,0,3052,20,0.66
wallaceagencyquick.com,HEALTHY,"Kim Wallace",2,0,2,0,2876,20,0.70
kimwallaceplus.com,HEALTHY,"Kim Wallace",2,0,2,0,2875,21,0.73
getkimwallace.com,HEALTHY,"Kim Wallace",2,0,2,0,2867,29,1.01
wallaceagencyplus.com,HEALTHY,"Kim Wallace",2,0,2,0,2864,29,1.01
wallaceagencyclaims.com,HEALTHY,"Kim Wallace",2,0,2,0,2860,22,0.77
kimwallaceexpert.com,HEALTHY,"Kim Wallace",2,0,2,0,2854,28,0.98
thebinyonagencyinc.com,HEALTHY,"Jason Binyon",2,0,2,0,2822,19,0.67
brilliantinsuranceltd.com,HEALTHY,"Jason Binyon",2,0,2,0,2755,15,0.54
binyonagencyco.com,HEALTHY,"Jason Binyon",2,0,2,0,2633,15,0.57
binyonagencycorp.com,HEALTHY,"Jason Binyon",2,0,2,0,2591,14,0.54
thedevinagencyworks.com,HEALTHY,"Devin Hodo",3,0,3,0,2453,26,1.06
devinagencysocial.com,HEALTHY,"Devin Hodo",3,0,3,0,2451,17,0.69
devinagencyinsure.com,HEALTHY,"Devin Hodo",3,0,3,0,2448,27,1.10
thedevinagencyteam.com,HEALTHY,"Devin Hodo",3,0,3,0,2444,20,0.82
thedevinagencyco.com,HEALTHY,"Devin Hodo",3,0,3,0,2435,26,1.07
fastjeffschroder.com,HEALTHY,"Jeff Schroder",3,0,3,0,2399,19,0.79
jeffschroderservices.com,HEALTHY,"Jeff Schroder",3,0,3,0,2395,29,1.21
robrusselpro.com,HEALTHY,"Rob Russell",3,0,3,0,2373,15,0.63
robrusselglobal.com,HEALTHY,"Rob Russell",3,0,3,0,2373,20,0.84
robrusselteam.com,HEALTHY,"Rob Russell",3,0,3,0,2373,27,1.14
robrusselco.com,HEALTHY,"Rob Russell",3,0,3,0,2371,20,0.84
robrusselnetwork.com,HEALTHY,"Rob Russell",3,0,3,0,2370,27,1.14
robrusselservices.com,HEALTHY,"Rob Russell",3,0,3,0,2369,27,1.14
robrusselintl.com,HEALTHY,"Rob Russell",3,0,3,0,2368,13,0.55
robrusselllc.com,HEALTHY,"Rob Russell",3,0,3,0,2367,29,1.23
robrusselgroup.com,HEALTHY,"Rob Russell",3,0,3,0,2366,29,1.23
devinagencyservices.com,HEALTHY,"Devin Hodo",3,0,3,0,2364,19,0.80
robrusseldirect.com,HEALTHY,"Rob Russell",3,0,3,0,2364,27,1.14
robrusselcompany.com,HEALTHY,"Rob Russell",3,0,3,0,2364,26,1.10
robrusselcorp.com,HEALTHY,"Rob Russell",3,0,3,0,2362,21,0.89
thedevinagencypros.com,HEALTHY,"Devin Hodo",3,0,3,0,2357,22,0.93
devinagencyco.com,HEALTHY,"Devin Hodo",3,0,3,0,2346,26,1.11
devinagencyconnect.com,HEALTHY,"Devin Hodo",3,0,3,0,2343,18,0.77
jeffschroderonline.com,HEALTHY,"Jeff Schroder",3,0,3,0,2315,30,1.30
jeffschrodercompany.com,HEALTHY,"Jeff Schroder",3,0,3,0,2314,28,1.21
jeffschroderllc.com,HEALTHY,"Jeff Schroder",3,0,3,0,2314,24,1.04
jeffschrodergrowth.com,HEALTHY,"Jeff Schroder",3,0,3,0,2314,20,0.86
jeffschroderteam.com,HEALTHY,"Jeff Schroder",3,0,3,0,2314,25,1.08
jeffschroderglobal.com,HEALTHY,"Jeff Schroder",3,0,3,0,2314,27,1.17
jeffschroderinc.com,HEALTHY,"Jeff Schroder",3,0,3,0,2313,21,0.91
jeffschroderpartners.com,HEALTHY,"Jeff Schroder",3,0,3,0,2312,18,0.78
jeffschroderenterprises.com,HEALTHY,"Jeff Schroder",3,0,3,0,2311,26,1.13
jeffschroderhq.com,HEALTHY,"Jeff Schroder",3,0,3,0,2311,28,1.21
jeffschroderpro.com,HEALTHY,"Jeff Schroder",3,0,3,0,2311,26,1.13
jeffschroderco.com,HEALTHY,"Jeff Schroder",3,0,3,0,2311,23,1.00
jeffschrodernetwork.com,HEALTHY,"Jeff Schroder",3,0,3,0,2309,26,1.13
johnrobertsinc.com,HEALTHY,"John Roberts",3,0,3,0,2301,27,1.17
johnrobertsco.com,HEALTHY,"John Roberts",3,0,3,0,2300,26,1.13
premierinsuregroup.com,HEALTHY,"Jason Binyon",1,0,1,0,2270,15,0.66
reliablebenefitplans.com,HEALTHY,"Jason Binyon",1,0,1,0,2265,11,0.49
quickjeffschroder.com,HEALTHY,"Jeff Schroder",3,0,3,0,2171,18,0.83
trueassuredpartners.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2156,25,1.16
assuredpartnerscentral.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2115,14,0.66
bestassuredpartners.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2112,16,0.76
unitedassuredpartners.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2110,23,1.09
assuredpartnersshield.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2073,20,0.96
assuredpartnerssolutions.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2062,22,1.07
binyonagencyamerica.com,HEALTHY,"Jason Binyon",3,0,3,0,2030,21,1.03
binyonagencyregional.com,HEALTHY,"Jason Binyon",3,0,3,0,2028,16,0.79
binyonagencyrisk.com,HEALTHY,"Jason Binyon",3,0,3,0,2023,16,0.79
allassuredpartners.com,HEALTHY,"Kirk Hodgson",3,0,3,0,2013,23,1.14
binyonagencyonline.com,HEALTHY,"Jason Binyon",3,0,3,0,2002,15,0.75
wallaceagencyinc.com,HEALTHY,"Kim Wallace",3,0,3,0,1950,23,1.18
wallaceagencygrowth.com,HEALTHY,"Kim Wallace",3,0,3,0,1950,18,0.92
wallaceagencyglobal.com,HEALTHY,"Kim Wallace",3,0,3,0,1949,16,0.82
wallaceagencyportal.com,HEALTHY,"Kim Wallace",3,0,3,0,1948,19,0.98
wallaceagencynational.com,HEALTHY,"Kim Wallace",3,0,3,0,1942,25,1.29
wallaceagencyco.com,HEALTHY,"Kim Wallace",3,0,3,0,1942,19,0.98
wallaceagencyhq.com,HEALTHY,"Kim Wallace",3,0,3,0,1935,20,1.03
industrybestcoveragellcs.com,HEALTHY,"Jason Binyon",1,0,1,0,1926,14,0.73
policyratepros.com,HEALTHY,"Jason Binyon",1,0,1,0,1827,11,0.60
policytrustgroup.com,HEALTHY,"Jason Binyon",1,0,1,0,1763,10,0.57
prorobrussell.com,HEALTHY,"Rob Russell",1,0,1,0,1712,11,0.64
hellorobrussell.com,HEALTHY,"Rob Russell",1,0,1,0,1706,8,0.47
nowrobrussell.com,HEALTHY,"Rob Russell",1,0,1,0,1703,9,0.53
saverobrussell.com,HEALTHY,"Rob Russell",1,0,1,0,1702,12,0.71
trustrobrussell.com,HEALTHY,"Rob Russell",1,0,1,0,1700,17,1.00
robrussellllc.com,HEALTHY,"Rob Russell",1,0,1,0,1699,19,1.12
robrussellagency.com,HEALTHY,"Rob Russell",1,0,1,0,1694,14,0.83
trustjohnroberts.com,HEALTHY,"John Roberts",1,0,1,0,1618,12,0.74
safejohnroberts.com,HEALTHY,"John Roberts",1,0,1,0,1600,7,0.44
smartjeffschroder.com,HEALTHY,"Jeff Schroder",2,0,2,0,1526,13,0.85
getjeffschroder.com,HEALTHY,"Jeff Schroder",2,0,2,0,1521,21,1.38
jeffschroderzone.com,HEALTHY,"Jeff Schroder",2,0,2,0,1516,13,0.86
findalexwilliams.com,HEALTHY,"Jason Binyon",1,0,1,0,1515,8,0.53
suresafepolicies.com,HEALTHY,"Jason Binyon",1,0,1,0,1497,10,0.67
wallaceagencyeasy.com,HEALTHY,"Kim Wallace",1,0,1,0,1450,10,0.69
wallaceagencyhome.com,HEALTHY,"Kim Wallace",1,0,1,0,1440,17,1.18
wallaceagencycorp.com,HEALTHY,"Kim Wallace",1,0,1,0,1440,15,1.04
usekimwallace.com,HEALTHY,"Kim Wallace",1,0,1,0,1434,16,1.12
nowkimwallace.com,HEALTHY,"Kim Wallace",1,0,1,0,1432,14,0.98
trustkimwallace.com,HEALTHY,"Kim Wallace",1,0,1,0,1432,9,0.63
wallaceagencypro.com,HEALTHY,"Kim Wallace",1,0,1,0,1431,18,1.26
wallaceagencyelite.com,HEALTHY,"Kim Wallace",1,0,1,0,1428,9,0.63
safeassuredpartners.com,HEALTHY,"Kirk Hodgson",2,0,2,0,1416,18,1.27
nicksakhaplan.com,HEALTHY,"Nick Sakha",3,0,3,0,1416,18,1.27
nicksakhainsuranceworks.com,HEALTHY,"Nick Sakha",3,0,3,0,1406,9,0.64
nicksakhainsurepros.com,HEALTHY,"Nick Sakha",3,0,3,0,1399,10,0.71
nicksakhallcs.com,HEALTHY,"Nick Sakha",3,0,3,0,1397,11,0.79
assuredpartnersservices.com,HEALTHY,"Kirk Hodgson",2,0,2,0,1394,11,0.79
nicksakhapartnersglobal.com,HEALTHY,"Nick Sakha",3,0,3,0,1394,10,0.72
nicksakhaprotectiongroup.com,HEALTHY,"Nick Sakha",3,0,3,0,1394,13,0.93
nicksakhaprotectionpartners.com,HEALTHY,"Nick Sakha",3,0,3,0,1391,15,1.08
nicksakhaprotectioncorp.com,HEALTHY,"Nick Sakha",3,0,3,0,1390,13,0.94
nicksakhallc.com,HEALTHY,"Nick Sakha",3,0,3,0,1382,17,1.23
nicksakhaprotectionamerica.com,HEALTHY,"Nick Sakha",3,0,3,0,1381,7,0.51
nicksakhapros.com,HEALTHY,"Nick Sakha",3,0,3,0,1379,8,0.58
nicksakhapartnerscorp.com,HEALTHY,"Nick Sakha",3,0,3,0,1377,12,0.87
nicksakhanationwide.com,HEALTHY,"Nick Sakha",3,0,3,0,1375,13,0.95
nicksakhaprotectionco.com,HEALTHY,"Nick Sakha",3,0,3,0,1374,15,1.09
assuredpartnersdirect.com,HEALTHY,"Kirk Hodgson",2,0,2,0,1373,12,0.87
nicksakhaprotectionltd.com,HEALTHY,"Nick Sakha",3,0,3,0,1373,9,0.66
nicksakhapartnersllc.com,HEALTHY,"Nick Sakha",3,0,3,0,1369,19,1.39
nicksakhaprotectionservices.com,HEALTHY,"Nick Sakha",3,0,3,0,1366,10,0.73
proassuredpartners.com,HEALTHY,"Kirk Hodgson",2,0,2,0,1363,12,0.88
nicksakhaprotectionusa.com,HEALTHY,"Nick Sakha",3,0,3,0,1350,13,0.96
nicksakhafinancialglobal.com,HEALTHY,"Nick Sakha",3,0,3,0,1340,14,1.04
nicksakhapartnersinc.com,HEALTHY,"Nick Sakha",3,0,3,0,1336,6,0.45
nicksakhaagencyltd.com,HEALTHY,"Nick Sakha",3,0,3,0,1334,13,0.97
nicksakhafinancialsolutions.com,HEALTHY,"Nick Sakha",3,0,3,0,1331,16,1.20
nicksakhagroupllc.com,HEALTHY,"Nick Sakha",3,0,3,0,1329,7,0.53
nicksakhafinancialpros.com,HEALTHY,"Nick Sakha",3,0,3,0,1327,14,1.06
nicksakhafinancialinc.com,HEALTHY,"Nick Sakha",3,0,3,0,1327,11,0.83
assuredpartnerscover.com,HEALTHY,"Kirk Hodgson",2,0,2,0,1321,7,0.53
nicksakhagroup.com,HEALTHY,"Nick Sakha",3,0,3,0,1313,9,0.69
nicksakhaagencypros.com,HEALTHY,"Nick Sakha",3,0,3,0,1311,8,0.61
nicksakhafinancialcorp.com,HEALTHY,"Nick Sakha",3,0,3,0,1307,13,0.99
nicksakhaamerica.com,HEALTHY,"Nick Sakha",3,0,3,0,1305,7,0.54
jeffschroderpros.com,HEALTHY,"Jeff Schroder",2,0,2,0,1299,10,0.77
nicksakhafinancialgroup.com,HEALTHY,"Nick Sakha",3,0,3,0,1299,12,0.92
nicksakhaagencyservices.com,HEALTHY,"Nick Sakha",3,0,3,0,1294,11,0.85
nicksakhariskgroup.com,HEALTHY,"Nick Sakha",3,0,3,0,1294,13,1.00
nicksakhafinancialllc.com,HEALTHY,"Nick Sakha",3,0,3,0,1290,15,1.16
nicksakhariskservices.com,HEALTHY,"Nick Sakha",3,0,3,0,1289,9,0.70
nicksakhasolutionsco.com,HEALTHY,"Nick Sakha",3,0,3,0,1277,10,0.78
nicksakhasolutions.com,HEALTHY,"Nick Sakha",3,0,3,0,1276,12,0.94
nicksakharisk.com,HEALTHY,"Nick Sakha",3,0,3,0,1275,9,0.71
nicksakharisksolutions.com,HEALTHY,"Nick Sakha",3,0,3,0,1274,13,1.02
nicksakhasolutionsamerica.com,HEALTHY,"Nick Sakha",3,0,3,0,1265,12,0.95
nicksakhaservicesllc.com,HEALTHY,"Nick Sakha",3,0,3,0,1263,14,1.11
nicksakhasolutionsinc.com,HEALTHY,"Nick Sakha",3,0,3,0,1263,12,0.95
alexwilliamsplans.com,HEALTHY,"Jason Binyon",1,0,1,0,1248,5,0.40
nicksakhainsuranceexperts.com,HEALTHY,"Nick Sakha",3,0,3,0,1241,11,0.89
nicksakhainsuranceconnect.com,HEALTHY,"Nick Sakha",3,0,3,0,1234,10,0.81
nicksakhainsurancecare.com,HEALTHY,"Nick Sakha",3,0,3,0,1233,12,0.97
nicksakhainsurancepartners.com,HEALTHY,"Nick Sakha",3,0,3,0,1232,9,0.73
nicksakhaservicesglobal.com,HEALTHY,"Nick Sakha",3,0,3,0,1232,9,0.73
nicksakhaservicesinc.com,HEALTHY,"Nick Sakha",3,0,3,0,1230,11,0.89
